192E1;7.313;0.802;2.155;1.039;0.648;1.435;1.676;0.858;0.679;1.066;0.000;0.594;0.519;6.058;1.000;0.694;3.766;0.718;0.575;1.439;1.565;2.206;0.689;0.703;0.365;5.178;0.617;0.545;2.291;0.616;5.993;1.209;0.682;0.853;0.813;1.226;0.781;0.863;0.768;1.829;0.712;1.770;2.985;1.736;0.315;1.118;0.785;0.887;0.846;1.781;3.633;1.098;1.874;1.354;0.660;2.596;2.163;0.738;0.635;1.570;2.760;1.146;0.856;1.443;1.639;1.257;0.989;0.732;1.852;1.450;1.398;1.450;1.740;0.587;1.874;2.730;0.658;1.529;0.903;1.940;0.888;1.851;0.751;0.634;0.738;0.808;0.936;3.078;2.643;0.756;0.287;2.401;2.562;7.820;1.074;0.817;0.705;3.099;2.033;0.751
8B1;7.332;0.473;1.967;1.066;0.738;1.350;1.602;0.677;0.518;1.085;0.594;0.000;0.406;6.086;0.964;0.388;3.814;0.300;0.339;1.252;1.460;2.184;0.302;0.390;0.487;5.226;0.149;0.177;2.118;0.195;6.007;1.308;0.317;0.496;0.657;1.226;0.254;0.559;0.398;1.702;0.334;1.712;2.989;1.692;0.455;0.984;0.440;0.637;0.437;1.720;3.363;0.812;1.846;1.249;0.404;2.525;2.168;0.218;0.175;1.525;2.758;1.276;0.599;1.352;1.608;1.010;0.776;0.506;1.826;1.242;1.353;1.347;1.542;0.470;1.930;2.700;0.173;1.482;0.613;1.996;0.495;1.827;0.211;0.178;0.474;0.255;0.948;3.088;2.608;0.867;0.389;2.402;2.616;7.849;1.157;0.757;0.318;3.146;2.025;0.522
14E1;7.406;0.612;1.735;1.226;0.812;1.502;1.741;0.871;0.842;1.159;0.519;0.406;0.000;6.155;1.113;0.642;3.912;0.524;0.605;1.063;1.624;2.344;0.595;0.233;0.259;5.313;0.454;0.412;1.871;0.552;6.088;1.383;0.312;0.748;0.841;1.359;0.412;0.707;0.707;1.785;0.324;1.872;3.100;1.813;0.313;1.162;0.344;0.854;0.455;1.727;3.168;0.898;1.953;1.405;0.455;2.623;2.272;0.393;0.480;1.727;2.865;1.317;0.370;1.494;1.754;0.777;0.907;0.749;1.934;1.420;1.568;1.474;1.332;0.703;2.052;2.818;0.333;1.639;0.773;2.114;0.414;1.932;0.443;0.318;0.412;0.473;1.115;3.165;2.716;0.953;0.303;2.525;2.726;7.927;1.169;0.937;0.623;3.247;2.203;0.764
19B1;1.257;5.661;6.306;5.141;5.538;4.761;4.502;5.445;6.019;5.034;6.058;6.086;6.155;0.000;5.175;5.722;2.354;5.878;5.812;6.339;4.668;4.035;5.806;6.066;6.084;1.028;5.960;5.933;6.460;6.030;0.417;4.911;6.160;5.636;5.477;4.912;6.174;5.563;5.748;4.521;6.072;4.435;3.146;4.405;5.937;5.126;6.059;5.463;5.915;4.505;7.066;5.389;4.249;4.863;5.750;3.585;3.932;6.128;5.916;4.729;3.356;4.929;6.145;4.759;4.508;6.242;5.329;5.638;4.268;5.048;4.926;4.752;6.209;6.089;4.246;3.423;6.101;4.642;5.500;4.174;6.104;4.267;6.141;6.161;5.809;6.127;5.248;3.002;3.508;5.384;6.166;3.729;3.549;1.806;5.034;5.408;5.888;3.009;4.245;5.615
159A0;6.423;0.643;2.364;0.460;0.434;0.450;0.704;0.317;0.891;0.285;1.000;0.964;1.113;5.175;0.000;0.592;2.877;0.774;0.711;1.658;0.572;1.243;0.689;1.067;1.020;4.288;0.834;0.830;2.541;0.926;5.085;0.398;1.141;0.571;0.330;0.461;1.124;0.570;0.635;1.075;1.014;0.787;2.053;0.784;0.876;0.199;1.118;0.435;0.963;1.088;3.658;0.686;0.935;0.370;0.729;1.666;1.263;1.046;0.805;0.623;1.829;0.431;1.209;0.461;0.704;1.593;0.421;0.485;0.914;0.579;0.491;0.502;1.990;1.051;0.984;1.779;1.005;0.560;0.521;1.052;1.181;0.917;1.046;1.083;0.848;1.059;0.421;2.194;1.693;0.317;1.075;1.465;1.675;6.923;0.402;0.460;0.746;2.205;1.091;0.586
99A0;6.967;0.257;2.089;0.771;0.467;0.971;1.227;0.293;0.508;0.744;0.694;0.388;0.642;5.722;0.592;0.000;3.443;0.230;0.259;1.333;1.079;1.800;0.101;0.578;0.624;4.853;0.256;0.293;2.257;0.387;5.635;0.956;0.613;0.172;0.279;0.897;0.554;0.283;0.113;1.398;0.499;1.330;2.612;1.320;0.518;0.604;0.635;0.290;0.498;1.434;3.421;0.579;1.476;0.869;0.320;2.165;1.805;0.475;0.226;1.146;2.383;0.945;0.760;0.973;1.240;1.191;0.450;0.138;1.456;0.877;0.980;0.979;1.680;0.626;1.562;2.323;0.439;1.106;0.309;1.628;0.690;1.458;0.467;0.522;0.454;0.486;0.658;2.730;2.233;0.560;0.625;2.026;2.247;7.477;0.834;0.490;0.202;2.774;1.645;0.298
108A0;3.590;3.417;4.413;2.840;3.242;2.480;2.230;3.162;3.696;2.759;3.766;3.814;3.912;2.354;2.877;3.443;0.000;3.615;3.525;4.210;2.391;1.719;3.530;3.842;3.821;1.424;3.688;3.662;4.589;3.747;2.273;2.610;3.922;3.371;3.192;2.624;3.932;3.320;3.468;2.379;3.832;2.138;0.865;2.131;3.670;2.844;3.847;3.193;3.701;2.396;5.435;3.189;1.982;2.586;3.506;1.447;1.655;3.878;3.646;2.405;1.082;2.641;3.944;2.487;2.211;4.127;3.085;3.348;1.999;2.806;2.598;2.498;4.211;3.795;1.916;1.178;3.845;2.342;3.255;1.845;3.904;1.999;3.885;3.905;3.586;3.880;2.947;0.854;1.285;3.081;3.889;1.423;1.214;4.078;2.772;3.119;3.605;0.673;1.913;3.337
170A0;7.121;0.263;1.985;0.989;0.586;1.140;1.392;0.467;0.587;0.914;0.718;0.300;0.524;5.878;0.774;0.230;3.615;0.000;0.396;1.133;1.243;1.974;0.195;0.425;0.552;5.017;0.166;0.289;2.143;0.404;5.786;1.119;0.512;0.283;0.448;1.100;0.398;0.346;0.250;1.540;0.295;1.502;2.776;1.487;0.502;0.782;0.516;0.477;0.346;1.547;3.245;0.636;1.638;1.035;0.312;2.310;1.980;0.285;0.189;1.332;2.547;1.110;0.573;1.132;1.427;1.049;0.570;0.330;1.620;0.969;1.170;1.129;1.589;0.700;1.750;2.482;0.268;1.289;0.405;1.816;0.534;1.621;0.281;0.412;0.362;0.297;0.877;2.891;2.385;0.716;0.590;2.198;2.429;7.631;0.968;0.702;0.174;2.948;1.828;0.486
37A0;7.058;0.420;2.078;0.736;0.575;1.094;1.342;0.477;0.458;0.824;0.575;0.339;0.605;5.812;0.711;0.259;3.525;0.396;0.000;1.484;1.207;1.912;0.234;0.597;0.607;4.944;0.293;0.214;2.244;0.236;5.739;1.060;0.527;0.383;0.466;0.917;0.541;0.452;0.293;1.468;0.578;1.446;2.715;1.426;0.475;0.736;0.611;0.408;0.581;1.504;3.569;0.697;1.582;1.000;0.370;2.273;1.883;0.516;0.245;1.255;2.485;1.020;0.828;1.106;1.320;1.189;0.590;0.335;1.560;1.094;1.088;1.106;1.644;0.385;1.637;2.435;0.465;1.205;0.473;1.701;0.704;1.562;0.514;0.453;0.540;0.538;0.618;2.813;2.349;0.650;0.497;2.123;2.322;7.577;0.939;0.430;0.355;2.859;1.747;0.223
199E1;7.572;1.213;1.834;1.986;1.393;1.938;2.138;1.441;1.595;1.717;1.439;1.252;1.063;6.339;1.658;1.333;4.210;1.133;1.484;0.000;2.025;2.690;1.319;0.996;1.102;5.532;1.222;1.301;1.921;1.443;6.232;1.837;1.234;1.342;1.413;2.014;1.148;1.283;1.370;2.226;0.931;2.264;3.376;2.215;1.216;1.684;1.127;1.506;1.025;2.108;2.336;1.392;2.324;1.846;1.211;2.892;2.683;1.068;1.268;2.179;3.160;1.830;0.753;1.900;2.245;1.088;1.444;1.391;2.313;1.621;2.054;1.879;1.643;1.699;2.509;3.086;1.086;2.108;1.345;2.568;1.033;2.309;1.093;1.216;1.046;1.091;1.890;3.472;2.968;1.539;1.321;2.872;3.116;8.062;1.626;1.743;1.255;3.573;2.600;1.578
